,a,b,rho
1107,1.2868166323279728,1.381331335337666,0.0009050972825284976
1108,4.183554482550616,4.274253824917845,9.397705132097145e-05
1109,1.7129821518461115,1.8160285970067958,0.0004921174295483732
1110,1.0804786807858686,1.1843415385678042,0.001146772101375878
1111,1.3251291545119401,1.4217631405442324,0.000825532936118959
1112,1.3164742534257334,1.4155867223537548,0.000856856240636531
1113,0.9565491279940759,1.061482921545762,0.001349992737563358
1114,0.5694798195596639,0.6726085349208881,0.003634864842283937
1115,0.3429295330741878,0.44799805214415667,0.008047324405309244
1116,2.789561525904916,2.881976871501769,0.0002041477246646961
1117,2.3595119907449695,2.450653335950439,0.00027400343364360923
1118,1.0372688202709044,1.1282393527236672,0.0012558321038224562
1119,3.8832479993942304,3.9771884384086054,0.00010950320852292528
1120,3.2986985844277785,3.3929647699342818,0.00015030605676208064
1121,0.7982318982723766,0.8946490480470557,0.001958983720607522
1122,1.1689604033955663,1.2595401768216652,0.001053765271264665
1123,2.289248831491371,2.378371546615521,0.00031619133652794007
1124,4.631325312164793,4.7204727006413245,7.370991766898927e-05
1125,0.8960650563191942,0.9935290019116695,0.0016981457856620143
1126,3.7461627029023346,3.8338581779383314,0.00011761483056905498
1127,1.2626653035270632,1.363273719063644,0.0008626638152049904
1128,0.758990590721366,0.8581798798684761,0.00200647397156948
1129,3.646934892825807,3.734613958522302,0.0001275265516149793
1130,2.0832383488153545,2.1785558717404276,0.0003358074481469231
1131,0.8110232629783753,0.9119747119457038,0.001995320869541769
1132,1.7123728549916248,1.8048173361465387,0.0005213146539668945
1133,0.7390058612524084,0.8399070095808467,0.002234802154789939
1134,4.452269545212504,4.542101243007656,8.051932551991658e-05
1135,5.845803759527323,5.9358769886374425,4.9829442666130544e-05
1136,1.8691587512169783,1.9564990952732724,0.00043649741748011617
1137,4.479221459642057,4.566948928727105,7.705376857712665e-05
1138,1.6470671126754164,1.7356368063130672,0.0005521036453840367
1139,5.7024330482925905,5.798658341897383,5.0481635615364785e-05
